#Name                Lat.  Long.  Diam.(km)

LL|Luna 2           |29.1N|  0.0E| 0.0
LL|Luna 9           | 7.0N| 64.3W| 0.0
LL|Luna 13          |18.8N| 62.0W| 0.0
LL|Luna 16          | 0.6S| 56.3E| 0.0
LL|Luna 17          |38.2N| 35.0W| 0.0
LL|Luna 20          | 3.5N| 56.5E| 0.0
LL|Luna 21          |25.5N| 30.3E| 0.0
LL|Luna 24          |12.2N| 62.2E| 0.0

LL|Apollo 11	  | 0.674N|	23.473E| 0.0
LL|Apollo 12	  | 3.014S|	23.419W| 0.0
LL|Apollo 14		| 3.645S|	17.471W| 0.0
LL|Apollo 15    |26.120N|	 3.634E| 0.0
LL|Apollo 16		| 8.973S|	15.499E| 0.0
LL|Apollo 17	  |20.188N|	30.775E| 0.0

CR|Abbe                 |57.3S|175.2E|  66.0
CR|Abbot                | 5.6N| 54.8E|  10.0
CR|Abel                 |34.5S| 87.3E| 122.0
CR|Abenezra             |21.0S| 11.9E|  42.0
CR|Abetti               |19.9N| 27.7E|  65.0
CR|Abul Wáfa            | 1.0N|116.6E|  55.0
CR|Abulfeda             |13.8S| 13.9E|  65.0
CR|Acosta               | 5.6S| 60.1E|  13.0
CR|Adams                |31.9S| 68.2E|  66.0
CR|Agatharchides        |19.8S| 30.9W|  48.0
CR|Agrippa              | 4.1N| 10.5E|  44.0
CR|Airy                 |18.1S|  5.7E|  36.0
CR|Aitken               |16.8S|173.4E| 135.0
CR|Akis                 |20.0N| 31.8W|   2.0
CR|Alan                 |10.9S|  6.1W|   2.0
CR|Al-Bakri             |14.3N| 20.2E|  12.0
CR|Albategnius          |11.7S|  4.3E| 114.0
CR|Al-Biruni            |17.9N| 92.5E|  77.0
CR|Alden                |23.6S|110.8E| 104.0
CR|Alder                |48.6S|177.4W|  77.0
CR|Aldrin               | 1.4N| 22.1E|   3.0
CR|Alekhin              |68.2S|131.3W|  70.0
CR|Alexander            |40.3N| 13.5E|  81.0
CR|Alfraganus           | 5.4S| 19.0E|  20.0
CR|Alhazen              |15.9N| 71.8E|  32.0
CR|Aliacensis           |30.6S|  5.2E|  79.0
CR|Al-Khwarizmi         | 7.1N|106.4E|  65.0
CR|Almanon              |16.8S| 15.2E|  49.0
CR|Al-Marrakushi        |10.4S| 55.8E|   8.0
CR|Aloha                |29.8N| 53.9W|   3.0
CR|Alpetragius          |16.0S|  4.5W|  39.0
CR|Alphonsus            |13.7S|  3.2W| 108.0
CR|Alter                |18.7N|107.5W|  64.0
CR|Ameghino             | 3.3N| 57.0E|   9.0
CR|Amici                | 9.9S|172.1W|  54.0
CR|Ammonius             | 8.5S|  0.8W|   8.0
CR|Amontons             | 5.3S| 46.8E|   2.0
CR|Amundsen             |84.3S| 85.6E| 101.0
CR|Anaxagoras           |73.4N| 10.1W|  50.0
CR|Anaximander          |66.9N| 51.3W|  67.0
CR|Anaximenes           |72.5N| 44.5W|  80.0
CR|Andel                |10.4S| 12.4E|  35.0
CR|Anders               |41.3S|142.9W|  40.0
CR|Anderson             |15.8N|171.1E| 109.0
CR|Andersson            |49.7S| 95.3W|  13.0
CR|Andronov             |22.7S|146.1E|  16.0
CR|Ango                 |20.5N| 32.3W|   1.0
CR|Angström             |29.9N| 41.6W|   9.0
CR|Ann                  |25.1N|  0.1W|   3.0
CR|Annegrit             |29.4N| 25.6W|   1.0
CR|Ansgarius            |12.7S| 79.7E|  94.0
CR|Antoniadi            |69.7S|172.0W| 143.0
CR|Anuchin              |49.0S|101.3E|  57.0
CR|Anville              | 1.9N| 49.5E|  10.0
CR|Apianus              |26.9S|  7.9E|  63.0
CR|Apollo               |36.1S|151.8W| 537.0
CR|Apollonius           | 4.5N| 61.1E|  53.0
CR|Appleton             |37.2N|158.3E|  63.0
CR|Arago                | 6.2N| 21.4E|  26.0
CR|Aratus               |23.6N|  4.5E|  10.0
CR|Archimedes           |29.7N|  4.0W|  82.0
CR|Archytas             |58.7N|  5.0E|  31.0
CR|Argelander           |16.5S|  5.8E|  34.0
CR|Ariadaeus            | 4.6N| 17.3E|  11.0
CR|Aristarchus          |23.7N| 47.4W|  40.0
CR|Aristillus           |33.9N|  1.2E|  55.0
CR|Aristoteles          |50.2N| 17.4E|  87.0
CR|Armínski             |16.4S|154.2E|  26.0
CR|Armstrong            | 1.4N| 25.0E|   4.0
CR|Arnold               |66.8N| 35.9E|  94.0
CR|Arrhenius            |55.6S| 91.3W|  40.0
CR|Artamonov            |25.5N|103.5E|  60.0
CR|Artem'ev             |10.8N|144.4W|  67.0
CR|Artemis              |25.0N| 25.4W|   2.0
CR|Artsimovich          |27.6N| 36.6W|   8.0
CR|Aryabhata            | 6.2N| 35.1E|  22.0
CR|Arzachel             |18.2S|  1.9W|  96.0
CR|Asada                | 7.3N| 49.9E|  12.0
CR|Asclepi              |55.1S| 25.4E|  42.0
CR|Ashbrook             |81.4S|112.5W| 156.0
CR|Aston                |32.9N| 87.7W|  43.0
CR|Atlas                |46.7N| 44.4E|  87.0
CR|Atwood               | 5.8S| 57.7E|  29.0
CR|Autolycus            |30.7N|  1.5E|  39.0
CR|Auwers               |15.1N| 17.2E|  20.0
CR|Auzout               |10.3N| 64.1E|  32.0
CR|Avery                | 1.4S| 81.4E|   9.0
CR|Avicenna             |39.7N| 97.2W|  74.0
CR|Avogadro             |63.1N|164.9E| 139.0
CR|Azophi               |22.1S| 12.7E|  47.0
CR|Baade                |44.8S| 81.8W|  55.0
CR|Babakin              |20.8S|123.3E|  20.0
CR|Babbage              |59.7N| 57.1W| 143.0
CR|Babcock              | 4.2N| 93.9E|  99.0
CR|Back                 | 1.1N| 80.7E|  35.0
CR|Backlund             |16.0S|103.0E|  75.0
CR|Bacon                |51.0S| 19.1E|  69.0
CR|Baillaud             |74.6N| 37.5E|  89.0
CR|Bailly               |66.5S| 69.1W| 287.0
CR|Baily                |49.7N| 30.4E|  26.0
CR|Balandin             |18.9S|152.6E|  12.0
CR|Balboa               |19.1N| 83.2W|  69.0
CR|Baldet               |53.3S|151.1W|  55.0
CR|Ball                 |35.9S|  8.4W|  41.0
CR|Balmer               |20.3S| 69.8E| 138.0
CR|Banachiewicz         | 5.2N| 80.1E|  92.0
CR|Bancroft             |28.0N|  6.4W|  13.0
CR|Banting              |26.6N| 16.4E|   5.0
CR|Barbier              |23.8S|157.9E|  66.0
CR|Barkla               |10.7S| 67.2E|  42.0
CR|Barnard              |29.5S| 85.6E| 105.0
CR|Barocius             |44.9S| 16.8E|  82.0
CR|Barringer            |28.0S|149.7W|  68.0
CR|Barrow               |71.3N|  7.7E|  92.0
CR|Bartels              |24.5N| 89.8W|  55.0
CR|Bawa                 |25.3S|102.6E|   1.0
CR|Bayer                |51.6S| 35.0W|  47.0
